2018-11-06 10:01:18.017 [main] INFO  c.f.s.test.CopyOnWriteArrayListExample - size:10
2018-11-06 10:01:28.428 [main] INFO  c.f.s.test.CopyOnWriteArrayListExample - size:100
2018-11-06 10:01:31.085 [main] INFO  c.f.s.test.CopyOnWriteArrayListExample - size:100
2018-11-06 10:01:33.766 [main] INFO  c.f.s.test.CopyOnWriteArrayListExample - size:100
2018-11-06 10:01:35.417 [main] INFO  c.f.s.test.CopyOnWriteArrayListExample - size:100
2018-11-06 10:01:37.227 [main] INFO  c.f.s.test.CopyOnWriteArrayListExample - size:100
2018-11-06 10:01:38.791 [main] INFO  c.f.s.test.CopyOnWriteArrayListExample - size:100
2018-11-06 10:01:40.560 [main] INFO  c.f.s.test.CopyOnWriteArrayListExample - size:100
2018-11-06 10:01:42.099 [main] INFO  c.f.s.test.CopyOnWriteArrayListExample - size:100
2018-11-06 10:01:44.661 [main] INFO  c.f.s.test.CopyOnWriteArrayListExample - size:100
2018-11-06 15:19:19.903 [main] INFO  com.felix.springbootdemo.test.VolatileExample - i的值为：100
2018-11-06 15:19:22.747 [main] INFO  com.felix.springbootdemo.test.VolatileExample - i的值为：100
2018-11-06 15:19:25.447 [main] INFO  com.felix.springbootdemo.test.VolatileExample - i的值为：100
2018-11-06 15:19:27.948 [main] INFO  com.felix.springbootdemo.test.VolatileExample - i的值为：100
2018-11-06 15:19:33.165 [main] INFO  com.felix.springbootdemo.test.VolatileExample - i的值为：100
2018-11-06 15:20:26.037 [main] INFO  com.felix.springbootdemo.test.VolatileExample - i的值为：97
2018-11-06 15:20:28.796 [main] INFO  com.felix.springbootdemo.test.VolatileExample - i的值为：100
2018-11-06 15:20:30.349 [main] INFO  com.felix.springbootdemo.test.VolatileExample - i的值为：100
2018-11-06 15:20:31.887 [main] INFO  com.felix.springbootdemo.test.VolatileExample - i的值为：98
2018-11-06 15:20:33.423 [main] INFO  com.felix.springbootdemo.test.VolatileExample - i的值为：96
2018-11-06 15:20:34.998 [main] INFO  com.felix.springbootdemo.test.VolatileExample - i的值为：98
2018-11-06 15:20:36.585 [main] INFO  com.felix.springbootdemo.test.VolatileExample - i的值为：97
2018-11-06 15:20:37.850 [main] INFO  com.felix.springbootdemo.test.VolatileExample - i的值为：100
2018-11-06 15:27:37.617 [main] INFO  com.felix.springbootdemo.test.VolatileExample - i的值为：0
2018-11-06 15:27:40.097 [main] INFO  com.felix.springbootdemo.test.VolatileExample - i的值为：0
2018-11-06 15:27:51.725 [main] INFO  com.felix.springbootdemo.test.VolatileExample - y的值为：100
2018-11-06 15:27:53.566 [main] INFO  com.felix.springbootdemo.test.VolatileExample - y的值为：100
2018-11-06 15:27:55.707 [main] INFO  com.felix.springbootdemo.test.VolatileExample - y的值为：100
2018-11-06 15:27:57.506 [main] INFO  com.felix.springbootdemo.test.VolatileExample - y的值为：100
2018-11-06 15:28:52.336 [main] INFO  com.felix.springbootdemo.test.VolatileExample - y的值为：100
2018-11-06 15:28:53.507 [main] INFO  com.felix.springbootdemo.test.VolatileExample - y的值为：100
2018-11-06 16:13:53.299 [main] INFO  com.felix.springbootdemo.test.VolatileExample - y的值为：100
2018-11-06 16:13:54.791 [main] INFO  com.felix.springbootdemo.test.VolatileExample - y的值为：100
2018-11-06 16:13:58.427 [main] INFO  com.felix.springbootdemo.test.VolatileExample - y的值为：100
2018-11-06 16:14:00.396 [main] INFO  com.felix.springbootdemo.test.VolatileExample - y的值为：100
2018-11-06 16:14:07.079 [main] INFO  com.felix.springbootdemo.test.VolatileExample - y的值为：1000
2018-11-06 16:14:08.867 [main] INFO  com.felix.springbootdemo.test.VolatileExample - y的值为：1000
2018-11-06 16:14:10.742 [main] INFO  com.felix.springbootdemo.test.VolatileExample - y的值为：1000
2018-11-06 16:14:12.463 [main] INFO  com.felix.springbootdemo.test.VolatileExample - y的值为：1000
2018-11-06 16:14:14.109 [main] INFO  com.felix.springbootdemo.test.VolatileExample - y的值为：1000
2018-11-06 16:14:15.644 [main] INFO  com.felix.springbootdemo.test.VolatileExample - y的值为：1000
2018-11-06 16:28:45.616 [main] INFO  com.felix.springbootdemo.test.VolatileExample - y的值为：1000
2018-11-06 16:29:00.664 [main] INFO  com.felix.springbootdemo.test.VolatileExample - y的值为：1000
2018-11-06 16:29:03.860 [main] INFO  com.felix.springbootdemo.test.VolatileExample - y的值为：1000
2018-11-06 16:30:11.595 [main] INFO  com.felix.springbootdemo.test.VolatileExample - y的值为：1000
2018-11-06 16:31:00.175 [main] INFO  com.felix.springbootdemo.test.VolatileExample - y的值为：10
2018-11-06 16:31:54.861 [main] INFO  com.felix.springbootdemo.test.VolatileExample - y的值为：10
